"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-06-28,2026-06-28,"VD | Broad | Awareness",active,12969,reach,8.53342586,196,Daily,110.67,13505,12969,1.041329,8.194743,Ongoing,"7-day click or 1-day view",,,,,11,0.081451,6.51,473,9,,,25
2026-06-28,2026-06-28,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-06-28,2026-06-28,"VD | Retargeting | DPA",active,,,,370,Daily,204.39,4472,2937,1.522642,45.704383,Ongoing,"7-day click",,,,,75,1.677102,2.376628,76,71,8,3,
2026-06-28,2026-06-28,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-06-28,2026-06-28,"VD | Broad | Prospecting | Sales",active,5,actions:offsite_conversion.fb_pixel_purchase,136.88,370,Daily,684.4,15662,9929,1.5774,43.698123,Ongoing,"7-day click",1.680333,5,1150.02,action_values:offsite_conversion.fb_pixel_purchase,317,2.024007,1.719598,664,287,29,10,110
2026-06-28,2026-06-28,"Warehouse Clearance | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,2026-03-29,"7-day click",,,,,,,0,,,,,
2026-06-28,2026-06-28,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-06-28,2026-06-28,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,3,actions:offsite_conversion.fb_pixel_purchase,77.14333333,327,Daily,231.43,5743,3655,1.571272,40.297754,Ongoing,"7-day click or 1-day view",16.200363,3,3749.25,action_values:offsite_conversion.fb_pixel_purchase,72,1.2537,2.629886,74,61,7,4,
2026-06-28,2026-06-28,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,1,actions:offsite_conversion.fb_pixel_purchase,250.75,300,Daily,250.75,6718,4510,1.489579,37.325097,Ongoing,"7-day click or 1-day view",3.109831,1,779.79,action_values:offsite_conversion.fb_pixel_purchase,126,1.875558,1.638889,130,116,5,5,1
2026-06-28,2026-06-28,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-06-28,2026-06-28,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-06-28,2026-06-28,"Customised Workwear | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
